"id" "age" "gender" "height"
"1" 1 1.75 "1" 87
"2" 1 2 "1" 90.2
"3" 1 3 "1" 97.8
"4" 1 4 "1" 106.3
"5" 1 5 "1" 114.6
"6" 1 6 "1" 119.9
"7" 1 7 "1" 127.1
"8" 1 8 "1" 132.3
"9" 1 8.5 "1" 136.2
"10" 1 9 "1" 139.4
"11" 1 9.5 "1" 142.4
"12" 1 10 "1" 144.9
"13" 1 10.5 "1" 147.3
"14" 1 11 "1" 149.9
"15" 1 11.5 "1" 152.5
"16" 1 12 "1" 155.3
"17" 1 12.5 "1" 158.5
"18" 1 13 "1" 161.8
"19" 1 13.5 "1" 165.3
"20" 1 14 "1" 168.8
"21" 1 14.5 "1" 171.7
"22" 1 15 "1" 174.4
"23" 1 15.5 "1" 176
"24" 1 16 "1" 176.6
"25" 1 16.5 "1" 177.2
"26" 1 17 "1" 177.8
"27" 1 17.5 "1" 178.4
"28" 1 18 "1" 179
"29" 1 18.5 "1" 179.5
"30" 2 0.25 "1" 64
"31" 2 0.5 "1" 71.6
"32" 2 0.75 "1" 77
"33" 2 1 "1" 81.3
"34" 2 1.25 "1" 84.2
"35" 2 1.5 "1" 86.4
"36" 2 1.75 "1" 88.9
"37" 2 2 "1" 91.4
"38" 2 3 "1" 101.1
"39" 2 4 "1" 109.5
"40" 2 5 "1" 115.8
"41" 2 6 "1" 121.9
"42" 2 7 "1" 130
"43" 2 8 "1" 138.2
"44" 2 8.5 "1" 141.1
"45" 2 9 "1" 144.3
"46" 2 9.5 "1" 147.5
"47" 2 10 "1" 150.5
"48" 2 10.5 "1" 153.4
"49" 2 11 "1" 156.2
"50" 2 11.5 "1" 159.7
"51" 2 12 "1" 163.8
"52" 2 12.5 "1" 168.8
"53" 2 13 "1" 174.9
"54" 2 13.5 "1" 181.2
"55" 2 14 "1" 186.3
"56" 2 14.5 "1" 189.6
"57" 2 15 "1" 191.3
"58" 2 15.5 "1" 192.1
"59" 2 16 "1" 192.8
"60" 2 16.5 "1" 193.2
"61" 2 17 "1" 193.8
"62" 2 17.5 "1" 194.3
"63" 2 18 "1" 195.1
"64" 3 1.5 "1" 80.8
"65" 3 1.75 "1" 83.6
"66" 3 2 "1" 86.4
"67" 3 3 "1" 96.7
"68" 3 4 "1" 104.1
"69" 3 5 "1" 111.4
"70" 3 6 "1" 118.4
"71" 3 7 "1" 126
